Lead Name,Category,Priority,Status,Suggested Contact Channel,Website / Contact Page,Instagram Link,Facebook Link,Google Search Link,IG Search Link,Last Contact Date,Follow-up Date,Notes,Website Link,Best Contact Link
G7 Events,Promoter,High,Not Contacted,Instagram/Website,,,,https://www.google.com/search?q=G7%20Events%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=G7%20Events%20Malta%20Instagram,,,Major event promoter,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
NnG Promotions,Promoter,Medium,Not Contacted,Facebook/Instagram,,,,https://www.google.com/search?q=NnG%20Promotions%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=NnG%20Promotions%20Malta%20Instagram,,,Music/promoter,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Wicked & Loud,Promoter,Medium,Not Contacted,Instagram/Facebook,,,,https://www.google.com/search?q=Wicked%20%26%20Loud%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Wicked%20%26%20Loud%20Malta%20Instagram,,,Promoter,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Boiler Malta,Promoter,Medium,Not Contacted,Instagram/Facebook,,,,https://www.google.com/search?q=Boiler%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Boiler%20Malta%20Malta%20Instagram,,,Event brand,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Sunny Side Up Malta,Promoter,Medium,Not Contacted,Instagram/Facebook,,,,https://www.google.com/search?q=Sunny%20Side%20Up%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Sunny%20Side%20Up%20Malta%20Malta%20Instagram,,,Day party promoter,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Malta Party Squad,Promoter,Medium,Not Contacted,Instagram/Facebook,,,,https://www.google.com/search?q=Malta%20Party%20Squad%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Malta%20Party%20Squad%20Malta%20Instagram,,,Party brand,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Island Events Malta,Promoter,Medium,Not Contacted,Instagram/Facebook,,,,https://www.google.com/search?q=Island%20Events%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Island%20Events%20Malta%20Malta%20Instagram,,,Event organiser,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Sound Salon Malta,Promoter,Medium,Not Contacted,Instagram/Facebook,,,,https://www.google.com/search?q=Sound%20Salon%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Sound%20Salon%20Malta%20Malta%20Instagram,,,Music/community,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Esplora Interactive Science Centre,Family / Kids,High,Not Contacted,Website/Facebook,,,,https://www.google.com/search?q=Esplora%20Interactive%20Science%20Centre%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Esplora%20Interactive%20Science%20Centre%20Malta%20Instagram,,,Family workshops/events,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Malta National Aquarium,Family / Kids,High,Not Contacted,Website/Facebook,,,,https://www.google.com/search?q=Malta%20National%20Aquarium%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Malta%20National%20Aquarium%20Malta%20Instagram,,,Family venue/events,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Playmobil FunPark Malta,Family / Kids,High,Not Contacted,Website/Facebook,,,,https://www.google.com/search?q=Playmobil%20FunPark%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Playmobil%20FunPark%20Malta%20Malta%20Instagram,,,Family venue,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Malta National Museum of Natural History,Family / Kids,Medium,Not Contacted,Website/Facebook,,,,https://www.google.com/search?q=Malta%20National%20Museum%20of%20Natural%20History%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Malta%20National%20Museum%20of%20Natural%20History%20Malta%20Instagram,,,Family/culture,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Malta Libraries Events,Family / Kids,High,Not Contacted,Facebook/Website,,,,https://www.google.com/search?q=Malta%20Libraries%20Events%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Malta%20Libraries%20Events%20Malta%20Instagram,,,Free recurring events,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Little Explorers Malta,Family / Kids,Medium,Not Contacted,Instagram/Facebook,,,,https://www.google.com/search?q=Little%20Explorers%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Little%20Explorers%20Malta%20Malta%20Instagram,,,Kids activities,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Mini Professors Malta,Family / Kids,Medium,Not Contacted,Facebook/Instagram,,,,https://www.google.com/search?q=Mini%20Professors%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Mini%20Professors%20Malta%20Malta%20Instagram,,,Kids learning/events,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Malta Girl Guides,Family / Kids,Medium,Not Contacted,Website/Facebook,,,,https://www.google.com/search?q=Malta%20Girl%20Guides%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Malta%20Girl%20Guides%20Malta%20Instagram,,,Youth/community,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Scouts Malta,Family / Kids,Medium,Not Contacted,Website/Facebook,,,,https://www.google.com/search?q=Scouts%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Scouts%20Malta%20Malta%20Instagram,,,Youth/community,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Kidz World Malta,Family / Kids,Medium,Not Contacted,Facebook/Instagram,,,,https://www.google.com/search?q=Kidz%20World%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Kidz%20World%20Malta%20Malta%20Instagram,,,Kids activities,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Malta Toy Library,Family / Kids,Medium,Not Contacted,Facebook/Instagram,,,,https://www.google.com/search?q=Malta%20Toy%20Library%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Malta%20Toy%20Library%20Malta%20Instagram,,,Family community,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Eden Cinemas Kids Club,Family / Kids,Medium,Not Contacted,Website/Facebook,,,,https://www.google.com/search?q=Eden%20Cinemas%20Kids%20Club%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Eden%20Cinemas%20Kids%20Club%20Malta%20Instagram,,,Kids cinema events,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Spazju Kreattiv,Culture / Arts,High,Not Contacted,Website/Instagram,,,,https://www.google.com/search?q=Spazju%20Kreattiv%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Spazju%20Kreattiv%20Malta%20Instagram,,,Arts venue/events,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Teatru Manoel,Culture / Arts,High,Not Contacted,Website/Instagram,,,,https://www.google.com/search?q=Teatru%20Manoel%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Teatru%20Manoel%20Malta%20Instagram,,,Theatre/performance,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Malta International Arts Festival,Culture / Arts,High,Not Contacted,Website/Facebook,,,,https://www.google.com/search?q=Malta%20International%20Arts%20Festival%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Malta%20International%20Arts%20Festival%20Malta%20Instagram,,,Festival,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Notte Bianca,Culture / Arts,High,Not Contacted,Website/Facebook,,,,https://www.google.com/search?q=Notte%20Bianca%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Notte%20Bianca%20Malta%20Instagram,,,Festival,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Valletta Cultural Agency,Culture / Arts,High,Not Contacted,Website/Facebook,,,,https://www.google.com/search?q=Valletta%20Cultural%20Agency%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Valletta%20Cultural%20Agency%20Malta%20Instagram,,,City events,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
?finMalta,Culture / Arts,Medium,Not Contacted,Website/Instagram,,,,https://www.google.com/search?q=%C5%BBfinMalta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=%C5%BBfinMalta%20Malta%20Instagram,,,Dance company/events,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Malta Philharmonic Orchestra,Culture / Arts,Medium,Not Contacted,Website/Facebook,,,,https://www.google.com/search?q=Malta%20Philharmonic%20Orchestra%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Malta%20Philharmonic%20Orchestra%20Malta%20Instagram,,,Concerts,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
MCAST Institute for the Creative Arts,Culture / Arts,Medium,Not Contacted,Website/Facebook,,,,https://www.google.com/search?q=MCAST%20Institute%20for%20the%20Creative%20Arts%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=MCAST%20Institute%20for%20the%20Creative%20Arts%20Malta%20Instagram,,,Student/public events,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
University of Malta Events,Culture / Arts,Medium,Not Contacted,Website/Facebook,,,,https://www.google.com/search?q=University%20of%20Malta%20Events%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=University%20of%20Malta%20Events%20Malta%20Instagram,,,Lectures/culture/community,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
In Guardia Parade Malta,Culture / Arts,Medium,Not Contacted,Website/Facebook,,,,https://www.google.com/search?q=In%20Guardia%20Parade%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=In%20Guardia%20Parade%20Malta%20Malta%20Instagram,,,Historical event,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Teatru Salesjan,Culture / Arts,Medium,Not Contacted,Website/Facebook,,,,https://www.google.com/search?q=Teatru%20Salesjan%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Teatru%20Salesjan%20Malta%20Instagram,,,Theatre/community,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Valletta Contemporary,Culture / Arts,Medium,Not Contacted,Website/Instagram,,,,https://www.google.com/search?q=Valletta%20Contemporary%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Valletta%20Contemporary%20Malta%20Instagram,,,Gallery/exhibitions,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Malta International Food Festival,Food / Markets,High,Not Contacted,Website/Instagram,https://www.maltainternationalfoodfestival.com/,https://www.instagram.com/maltainternationalfoodfestival/,,https://www.google.com/search?q=Malta%20International%20Food%20Festival%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Malta%20International%20Food%20Festival%20Malta%20Instagram,,,Official links verified,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Is-Suq tal-Belt,Food / Markets,High,Not Contacted,Instagram/Website,,,,https://www.google.com/search?q=Is-Suq%20tal-Belt%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Is-Suq%20tal-Belt%20Malta%20Instagram,,,Food hall events,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Farmers Market Ta' Qali,Food / Markets,Medium,Not Contacted,Facebook/Google,,,,https://www.google.com/search?q=Farmers%20Market%20Ta%27%20Qali%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Farmers%20Market%20Ta%27%20Qali%20Malta%20Instagram,,,Weekly market,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Birgu Market Events,Food / Markets,Medium,Not Contacted,Facebook/Google,,,,https://www.google.com/search?q=Birgu%20Market%20Events%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Birgu%20Market%20Events%20Malta%20Instagram,,,Market/local events,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Marsaxlokk Market,Food / Markets,Medium,Not Contacted,Facebook/Google,,,,https://www.google.com/search?q=Marsaxlokk%20Market%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Marsaxlokk%20Market%20Malta%20Instagram,,,Tourist/local market,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Wine Events Malta,Food / Markets,Medium,Not Contacted,Instagram/Facebook,,,,https://www.google.com/search?q=Wine%20Events%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Wine%20Events%20Malta%20Malta%20Instagram,,,Wine events,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
The Farsons Beer Festival,Food / Markets,High,Not Contacted,Website/Facebook,,,,https://www.google.com/search?q=The%20Farsons%20Beer%20Festival%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=The%20Farsons%20Beer%20Festival%20Malta%20Instagram,,,Major recurring festival,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Food Truck Malta,Food / Markets,Medium,Not Contacted,Facebook/Instagram,,,,https://www.google.com/search?q=Food%20Truck%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Food%20Truck%20Malta%20Malta%20Instagram,,,Food truck/events,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Night Markets Malta,Food / Markets,Medium,Not Contacted,Facebook/Instagram,,,,https://www.google.com/search?q=Night%20Markets%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Night%20Markets%20Malta%20Malta%20Instagram,,,Markets,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Malta Artisan Markets,Food / Markets,Medium,Not Contacted,Instagram/Facebook,,,,https://www.google.com/search?q=Malta%20Artisan%20Markets%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Malta%20Artisan%20Markets%20Malta%20Instagram,,,Craft/market events,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Eco Market Malta,Food / Markets,Medium,Not Contacted,Website/Facebook,,,,https://www.google.com/search?q=Eco%20Market%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Eco%20Market%20Malta%20Malta%20Instagram,,,Market/events,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Pjazza Tritoni Events,Food / Markets,Medium,Not Contacted,Facebook/Google,,,,https://www.google.com/search?q=Pjazza%20Tritoni%20Events%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Pjazza%20Tritoni%20Events%20Malta%20Instagram,,,Seasonal markets/events,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Yoga Malta Community,Fitness / Wellness,Medium,Not Contacted,Facebook/Instagram,,,,https://www.google.com/search?q=Yoga%20Malta%20Community%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Yoga%20Malta%20Community%20Malta%20Instagram,,,Community events,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Hot Yoga Malta,Fitness / Wellness,Medium,Not Contacted,Website/Instagram,,,,https://www.google.com/search?q=Hot%20Yoga%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Hot%20Yoga%20Malta%20Malta%20Instagram,,,Wellness classes,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Malta Yoga Festival,Fitness / Wellness,High,Not Contacted,Website/Instagram,,,,https://www.google.com/search?q=Malta%20Yoga%20Festival%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Malta%20Yoga%20Festival%20Malta%20Instagram,,,Festival,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Run Malta,Fitness / Wellness,High,Not Contacted,Website/Facebook,,,,https://www.google.com/search?q=Run%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Run%20Malta%20Malta%20Instagram,,,Running events,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Malta Marathon,Fitness / Wellness,High,Not Contacted,Website/Facebook,,,,https://www.google.com/search?q=Malta%20Marathon%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Malta%20Marathon%20Malta%20Instagram,,,Annual race,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Bootcamp Malta,Fitness / Wellness,Medium,Not Contacted,Facebook/Instagram,,,,https://www.google.com/search?q=Bootcamp%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Bootcamp%20Malta%20Malta%20Instagram,,,Recurring fitness,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Beach Fitness Malta,Fitness / Wellness,Medium,Not Contacted,Instagram/Facebook,,,,https://www.google.com/search?q=Beach%20Fitness%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Beach%20Fitness%20Malta%20Malta%20Instagram,,,Outdoor fitness,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
CrossFit Malta,Fitness / Wellness,Medium,Not Contacted,Website/Instagram,,,,https://www.google.com/search?q=CrossFit%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=CrossFit%20Malta%20Malta%20Instagram,,,Fitness events,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Meditation Malta,Fitness / Wellness,Medium,Not Contacted,Facebook/Instagram,,,,https://www.google.com/search?q=Meditation%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Meditation%20Malta%20Malta%20Instagram,,,Wellness events,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Wellness Weekend Malta,Fitness / Wellness,Medium,Not Contacted,Facebook/Instagram,,,,https://www.google.com/search?q=Wellness%20Weekend%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Wellness%20Weekend%20Malta%20Malta%20Instagram,,,Wellness events,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Malta Triathlon Federation,Fitness / Wellness,Medium,Not Contacted,Website/Facebook,,,,https://www.google.com/search?q=Malta%20Triathlon%20Federation%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Malta%20Triathlon%20Federation%20Malta%20Instagram,,,Sports events,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Malta Mountain Bike Association,Fitness / Wellness,Medium,Not Contacted,Website/Facebook,,,,https://www.google.com/search?q=Malta%20Mountain%20Bike%20Association%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Malta%20Mountain%20Bike%20Association%20Malta%20Instagram,,,Sports community,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Hard Rock Cafe Malta,Live Music / Bars,High,Not Contacted,Website/Instagram,,,,https://www.google.com/search?q=Hard%20Rock%20Cafe%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Hard%20Rock%20Cafe%20Malta%20Malta%20Instagram,,,Live music/events,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
The Pub Valletta,Live Music / Bars,Medium,Not Contacted,Facebook/Google,,,,https://www.google.com/search?q=The%20Pub%20Valletta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=The%20Pub%20Valletta%20Malta%20Instagram,,,Bar/events,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Casey's Bar,Live Music / Bars,Medium,Not Contacted,Facebook/Instagram,,,,https://www.google.com/search?q=Casey%27s%20Bar%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Casey%27s%20Bar%20Malta%20Instagram,,,Bar/events,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Maori Bar,Live Music / Bars,Medium,Not Contacted,Facebook/Instagram,,,,https://www.google.com/search?q=Maori%20Bar%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Maori%20Bar%20Malta%20Instagram,,,Live music/bar,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Offbeat Music Bar,Live Music / Bars,High,Not Contacted,Facebook/Instagram,,,,https://www.google.com/search?q=Offbeat%20Music%20Bar%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Offbeat%20Music%20Bar%20Malta%20Instagram,,,Live music venue,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Storeroom Malta,Live Music / Bars,High,Not Contacted,Facebook/Instagram,,,,https://www.google.com/search?q=Storeroom%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Storeroom%20Malta%20Malta%20Instagram,,,Live music venue,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
The Garage Malta,Live Music / Bars,High,Not Contacted,Facebook/Instagram,,,,https://www.google.com/search?q=The%20Garage%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=The%20Garage%20Malta%20Malta%20Instagram,,,Live music venue,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Zion Bar Marsaskala,Live Music / Bars,High,Not Contacted,Facebook/Instagram,,,,https://www.google.com/search?q=Zion%20Bar%20Marsaskala%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Zion%20Bar%20Marsaskala%20Malta%20Instagram,,,Live music/events,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Cafe Society Malta,Live Music / Bars,Medium,Not Contacted,Facebook/Instagram,,,,https://www.google.com/search?q=Cafe%20Society%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Cafe%20Society%20Malta%20Malta%20Instagram,,,Bar/events,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Bridge Bar Valletta,Live Music / Bars,Medium,Not Contacted,Facebook/Instagram,,,,https://www.google.com/search?q=Bridge%20Bar%20Valletta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Bridge%20Bar%20Valletta%20Malta%20Instagram,,,Jazz/live music,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
The Splendid Valletta,Live Music / Bars,Medium,Not Contacted,Instagram/Facebook,,,,https://www.google.com/search?q=The%20Splendid%20Valletta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=The%20Splendid%20Valletta%20Malta%20Instagram,,,Arts/music events,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
The Beer Cave Malta,Live Music / Bars,Medium,Not Contacted,Facebook/Instagram,,,,https://www.google.com/search?q=The%20Beer%20Cave%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=The%20Beer%20Cave%20Malta%20Malta%20Instagram,,,Bar/events,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Isle of MTV Malta,Seasonal / Big Events,High,Not Contacted,Website/Instagram,,,,https://www.google.com/search?q=Isle%20of%20MTV%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Isle%20of%20MTV%20Malta%20Malta%20Instagram,,,Major concert,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Malta Jazz Festival,Seasonal / Big Events,High,Not Contacted,Website/Facebook,,,,https://www.google.com/search?q=Malta%20Jazz%20Festival%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Malta%20Jazz%20Festival%20Malta%20Instagram,,,Major festival,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Earth Garden Festival,Seasonal / Big Events,High,Not Contacted,Website/Instagram,,,,https://www.google.com/search?q=Earth%20Garden%20Festival%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Earth%20Garden%20Festival%20Malta%20Instagram,,,Major festival,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
SummerDaze Malta,Seasonal / Big Events,High,Not Contacted,Website/Instagram,,,,https://www.google.com/search?q=SummerDaze%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=SummerDaze%20Malta%20Malta%20Instagram,,,Major music event,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Carnival Malta,Seasonal / Big Events,High,Not Contacted,Website/Facebook,,,,https://www.google.com/search?q=Carnival%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Carnival%20Malta%20Malta%20Instagram,,,Annual festival,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Rolex Middle Sea Race,Seasonal / Big Events,Medium,Not Contacted,Website/Facebook,,,,https://www.google.com/search?q=Rolex%20Middle%20Sea%20Race%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Rolex%20Middle%20Sea%20Race%20Malta%20Instagram,,,Sports/tourism event,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Fairyland Malta,Seasonal / Big Events,High,Not Contacted,Website/Facebook,,,,https://www.google.com/search?q=Fairyland%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Fairyland%20Malta%20Malta%20Instagram,,,Christmas/family event,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Malta International Fireworks Festival,Seasonal / Big Events,High,Not Contacted,Website/Facebook,,,,https://www.google.com/search?q=Malta%20International%20Fireworks%20Festival%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Malta%20International%20Fireworks%20Festival%20Malta%20Instagram,,,Annual festival,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Malta Book Festival,Seasonal / Big Events,Medium,Not Contacted,Website/Facebook,,,,https://www.google.com/search?q=Malta%20Book%20Festival%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Malta%20Book%20Festival%20Malta%20Instagram,,,Cultural event,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Science in the City Malta,Seasonal / Big Events,Medium,Not Contacted,Website/Facebook,,,,https://www.google.com/search?q=Science%20in%20the%20City%20Malta%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Science%20in%20the%20City%20Malta%20Malta%20Instagram,,,Science/culture festival,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Valletta Local Council,Local Council,Medium,Not Contacted,Website/Facebook,,,,https://www.google.com/search?q=Valletta%20Local%20Council%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Valletta%20Local%20Council%20Malta%20Instagram,,,Local events,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Sliema Local Council,Local Council,Medium,Not Contacted,Website/Facebook,,,,https://www.google.com/search?q=Sliema%20Local%20Council%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Sliema%20Local%20Council%20Malta%20Instagram,,,Local events,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
St Julian's Local Council,Local Council,Medium,Not Contacted,Website/Facebook,,,,https://www.google.com/search?q=St%20Julian%27s%20Local%20Council%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=St%20Julian%27s%20Local%20Council%20Malta%20Instagram,,,Local events,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Mosta Local Council,Local Council,Medium,Not Contacted,Website/Facebook,,,,https://www.google.com/search?q=Mosta%20Local%20Council%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Mosta%20Local%20Council%20Malta%20Instagram,,,Local events,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Rabat Local Council,Local Council,Medium,Not Contacted,Website/Facebook,,,,https://www.google.com/search?q=Rabat%20Local%20Council%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Rabat%20Local%20Council%20Malta%20Instagram,,,Local events,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Mdina Local Council,Local Council,Medium,Not Contacted,Website/Facebook,,,,https://www.google.com/search?q=Mdina%20Local%20Council%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Mdina%20Local%20Council%20Malta%20Instagram,,,Local events,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
Marsaskala Local Council,Local Council,Medium,Not Contacted,Website/Facebook,,,,https://www.google.com/search?q=Marsaskala%20Local%20Council%20Malta%20contact,https://www.instagram.com/explore/search/keyword/?q=Marsaskala%20Local%20Council%20Malta%20Instagram,,,Local events,https://www.google.com/search?q=+malta,https://www.google.com/search?q=+malta
